Date	Name	Year	Letterboxd URI	Rating	Rewatch	Tags	Watched Date	Genre	Language	Country	Director	Revenue	Budget
2019-09-07	Memento	2000	https://boxd.it/O27D9	4,00			2019-09-06	Mystery	en	United States of America	Christopher Nolan	40000000	9000000
2019-09-08	Freak Show	2017	https://boxd.it/O5UNN	3,00			2019-09-07	Comedy	en	United States of America	Trudie Styler	0	0
2019-09-09	The Raid	2011	https://boxd.it/O94UP	4,00			2019-09-08	Adventure	en	United States of America	Steven Spielberg	389925971	18000000
2019-09-09	K-12	2019	https://boxd.it/Oa5lD	4,00			2019-09-08	Music	en	United States of America	Melanie Martinez	359377	6000000
2019-09-12	The Dead Don't Die	2019	https://boxd.it/Oj1CN	2,50			2019-09-11	Comedy	en	United States of America	Jim Jarmusch	15800000	11000000
2019-09-15	It Chapter Two	2019	https://boxd.it/Os8gR	4,00			2019-09-14	Horror	en	United States of America	Andy Muschietti	473123154	79000000
2019-09-15	Roundhay Garden Scene	1888	https://boxd.it/OuDCX	0,00			2019-09-15	Documentary	en	United Kingdom	Louis Aimé Augustin Le Prince	0	0
2019-09-16	And So We Put Goldfish in the Pool.	2017	https://boxd.it/Ow0e7	4,50			2019-09-15	Drama	ja	Japan	Makoto Nagahisa	0	0
2019-09-17	Sugar	2017	https://boxd.it/OzMH3	0,00			2019-09-16	Drama	en	United States of America	Matthew Crawford	0	5000
2019-09-17	It Matters	2015	https://boxd.it/OzO19	0,00			2019-09-16	Drama	fr	France	Bénédicte Acolas	0	0
2019-09-17	His Favorite Person	2018	https://boxd.it/OzOGL	4,00			2019-09-16	Drama	en	United States of America	Jacob Isaiah Kelly	0	4000
2019-09-17	Your Girlfriend	2019	https://boxd.it/OzQLN	0,00			2019-09-16	Drama	en	United States of America	Jacob Isaiah Kelly	0	6000
2019-09-30	Memories of Murder	2003	https://boxd.it/PediJ	0,00			2019-09-29	Crime	ko	South Korea	Bong Joon-ho	26000000	2800000
2019-10-03	Doubt	2008	https://boxd.it/Po0z3	4,50			2019-10-02	Drama	en	United States of America	John Patrick Shanley	50907234	20000000
2019-10-04	Fantastic Mr. Fox	2009	https://boxd.it/PqSVV	4,50			2019-10-03	Adventure	en	United States of America	Wes Anderson	46471023	40000000
2019-10-07	Joker	2019	https://boxd.it/PC8l7	4,00			2019-10-06	Crime	en	United States of America	Todd Phillips	1078958629	55000000
2019-10-07	Good Morning	2007	https://boxd.it/PCdYX	0,00			2019-10-06	Drama	it	Italy	Marco Bellocchio	0	0
2019-10-09	Too Many Cooks	2014	https://boxd.it/PMgXt	0,00			2019-10-09	Horror	en	United States of America	Casper Kelly	0	0
2019-10-10	Over	2015	https://boxd.it/PNKcT	5,00			2019-10-09	Drama	en	United States of America	Jörn Threlfall	0	4600
