Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-08-20,Almost Famous,2000,https://boxd.it/N6tcD,4,,,2019-08-19
2019-08-22,Asako I & II,2018,https://boxd.it/NdeaV,,,,2019-08-22
2019-08-24,Blue Velvet,1986,https://boxd.it/NjAxJ,,,,2019-08-23
2019-08-28,Vertigo,1958,https://boxd.it/NysTd,4.5,,,2019-08-27
2019-08-31,Taylor Swift: Reputation Stadium Tour,2018,https://boxd.it/NHqrT,4.5,,,2019-08-31
2019-09-01,Open Your Eyes,1997,https://boxd.it/NI9CR,3.5,,,2019-08-31
2019-09-03,Old Joy,2006,https://boxd.it/NQ0uP,5,,,2019-09-02
2019-09-04,The Color of Pomegranates,1969,https://boxd.it/NSYPH,,,,2019-09-03
2019-09-06,Starfish,2018,https://boxd.it/NZJLf,4,,,2019-09-05
2019-09-07,Memento,2000,https://boxd.it/O27D9,4,,,2019-09-06
2019-09-08,Freak Show,2017,https://boxd.it/O5UNN,3,,,2019-09-07
2019-09-09,The Raid,2011,https://boxd.it/O94UP,4,,,2019-09-08
2019-09-09,K-12,2019,https://boxd.it/Oa5lD,4,,,2019-09-08
2019-09-12,The Dead Don't Die,2019,https://boxd.it/Oj1CN,2.5,,,2019-09-11
2019-09-15,It Chapter Two,2019,https://boxd.it/Os8gR,4,,,2019-09-14
2019-09-15,Roundhay Garden Scene,1888,https://boxd.it/OuDCX,,,,2019-09-15
2019-09-16,And So We Put Goldfish in the Pool.,2017,https://boxd.it/Ow0e7,4.5,,,2019-09-15
2019-09-17,Sugar,2017,https://boxd.it/OzMH3,,,,2019-09-16
2019-09-17,It Matters,2015,https://boxd.it/OzO19,,,,2019-09-16
2019-09-17,His Favorite Person,2018,https://boxd.it/OzOGL,4,,,2019-09-16
2019-09-17,Your Girlfriend,2019,https://boxd.it/OzQLN,,,,2019-09-16
2019-09-30,Memories of Murder,2003,https://boxd.it/PediJ,,,,2019-09-29
2019-10-03,Doubt,2008,https://boxd.it/Po0z3,4.5,,,2019-10-02
2019-10-04,Fantastic Mr. Fox,2009,https://boxd.it/PqSVV,4.5,,,2019-10-03
2019-10-07,Joker,2019,https://boxd.it/PC8l7,4,,,2019-10-06
2019-10-07,Good Morning,2007,https://boxd.it/PCdYX,,,,2019-10-06
2019-10-09,Too Many Cooks,2014,https://boxd.it/PMgXt,,,,2019-10-09
2019-10-10,Over,2015,https://boxd.it/PNKcT,5,,,2019-10-09
